time       epoch       loss   val_loss
13:53:26       1   5.529197   4.060815 *
13:53:57       2   3.937535   3.612517 *
13:54:27       3   3.537859   3.278272 *
13:54:58       4   3.270177   3.124916 *
13:55:29       5   3.119147   2.957295 *
13:55:59       6   2.952075   2.842455 *
13:56:29       7   2.861169   2.806814 *
13:57:00       8   2.818252   2.785729 *
13:57:30       9   2.763844   2.703119 *
13:58:01      10   2.741422   2.725087
13:58:31      11   2.716386   2.658567 *
13:59:02      12   2.701342   2.712241
13:59:32      13   2.672901   2.692054
14:00:02      14   2.669778   2.664311
14:00:33      15   2.645124   2.656563 *
14:01:03      16   2.624957   2.683022
14:01:34      17   2.621864   2.648423 *
